ID;НАЗВАНИЕ;ПОЛНОЕ_НАЗВАНИЕ;ОПИСАНИЕ;ЦЕНА;КАТЕГОРИЯ;ХАРАКТЕРИСТИКИ;ПРЕИМУЩЕСТВА;ИНСТРУКЦИЯ_МОНТАЖА;ОСНОВНОЕ_ИЗОБРАЖЕНИЕ;ИЗОБРАЖЕНИЯ_ПРИМЕНЕНИЯ
kolco-smotrovogo-kolodca;Кольцо смотрового колодца;Кольцо смотрового колодца;;1800;3;;;;/img/products/kolco-smotrovogo-kolodca/1.jpg;
dno-smotrovogo-kolodca;Дно смотрового колодца;Дно смотрового колодца;;2100;3;;;;/img/products/dno-smotrovogo-kolodca/3.jpg;
