ID;НАЗВАНИЕ;ПОЛНОЕ_НАЗВАНИЕ;ОПИСАНИЕ;ЦЕНА;КАТЕГОРИЯ;ХАРАКТЕРИСТИКИ;ПРЕИМУЩЕСТВА;ИНСТРУКЦИЯ_МОНТАЖА;ОСНОВНОЕ_ИЗОБРАЖЕНИЕ;ИЗОБРАЖЕНИЯ_ПРИМЕНЕНИЯ
333-polimerpeschanaya-plitka-na-8-kirpichey;плитка Полимерно - песчаная ;для благоустройства территории;;180;2;;;;/img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/1.jpg;/img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/1.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/2.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/3.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/4.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/5.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/6.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/7.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/8.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/9.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/10.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/11.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/12.webp, /img/products/333-polimerpeschanaya-plitka-na-8-kirpichey/13.webp
polimerpeschaniy-bordyur-porebrik;поребрик, бордюр Полимерно - песчаный ;для благоустройства территории;;260;2;;;;/img/products/parebrik/1.webp;
polimerpeschaniy-livneviy-lotok; водоотвод Полимерно - песчаный  ;для водоотведения;;210;2;;;;/img/products/vodootvod/2.webp;
